brokered_by,status,price,bed,city,state,zip_code,prev_sold_date
87549,for_sale,45000,,Cabo Rojo,Puerto Rico,623,
61710,for_sale,65000,,Cabo Rojo,Puerto Rico,623,
87549,for_sale,80000,,Cabo Rojo,Puerto Rico,623,
87549,for_sale,120000,,Cabo Rojo,Puerto Rico,623,
87549,for_sale,70000,,Cabo Rojo,Puerto Rico,623,
46019,for_sale,391000,,Hormigueros,Puerto Rico,660,
46019,for_sale,160000,,Cabo Rojo,Puerto Rico,623,
46019,for_sale,290000,,Cabo Rojo,Puerto Rico,623,
46019,for_sale,835000,,Hormigueros,Puerto Rico,660,
47983,for_sale,159000,,Mayaguez,Puerto Rico,680,
47983,for_sale,79000,,Anasco,Puerto Rico,610,
46019,for_sale,149900,3.0,Anasco,Puerto Rico,610,
48230,for_sale,106000,2.0,Anasco,Puerto Rico,610,
34632,for_sale,165000,5.0,Anasco,Puerto Rico,610,
86036,for_sale,499000,8.0,Anasco,Puerto Rico,610,
46019,for_sale,140000,,Anasco,Puerto Rico,610,
46475,for_sale,450000,4.0,Isabela,Puerto Rico,662,
96048,for_sale,485000,4.0,Isabela,Puerto Rico,662,
52707,for_sale,1800000,6.0,Isabela,Puerto Rico,662,
18211,for_sale,975000,6.0,Isabela,Puerto Rico,662,
47983,for_sale,950000,4.0,Rincon,Puerto Rico,677,
47983,for_sale,349000,3.0,Rincon,Puerto Rico,677,
72457,for_sale,39900,3.0,Arecibo,Puerto Rico,612,
72457,for_sale,29900,3.0,Arecibo,Puerto Rico,612,
60830,for_sale,475000,1.0,Arecibo,Puerto Rico,612,
60831,for_sale,200000,4.0,Arecibo,Puerto Rico,612,
103378,for_sale,84900,4.0,Arecibo,Puerto Rico,612,
52707,for_sale,148000,5.0,Arecibo,Puerto Rico,612,
49592,for_sale,39500,1.0,Arecibo,Puerto Rico,612,
33888,for_sale,220000,6.0,Arecibo,Puerto Rico,612,
52707,for_sale,75000,3.0,Arecibo,Puerto Rico,612,
60830,for_sale,110000,4.0,Arecibo,Puerto Rico,612,
60831,for_sale,150000,7.0,Arecibo,Puerto Rico,612,
103378,for_sale,69900,4.0,Arecibo,Puerto Rico,612,
52707,for_sale,79000,6.0,Arecibo,Puerto Rico,612,
52707,for_sale,65000,3.0,Arecibo,Puerto Rico,612,
60830,for_sale,179000,5.0,Arecibo,Puerto Rico,612,
62210,for_sale,145000,3.0,Arecibo,Puerto Rico,612,
1589,for_sale,79000,3.0,Arecibo,Puerto Rico,612,
80224,for_sale,360000,5.0,Arecibo,Puerto Rico,612,
29911,for_sale,50000,,Arecibo,Puerto Rico,612,
103378,for_sale,134900,,Arecibo,Puerto Rico,612,
92147,for_sale,94600,3.0,Arecibo,Puerto Rico,612,
103378,for_sale,59900,,Arecibo,Puerto Rico,612,
1589,for_sale,239000,7.0,Arecibo,Puerto Rico,612,
