address,city,country,longitude,name,province_nameChanged
441 Craig St,Buffalo,US,-96.07826,McDonalds,TX
2111 Ave F NW US 287,Childress,US,-100.22784,McDonald's,TX
1005 S 14th St,Kingsville,US,-97.85649,Taco Bell,TX
4622 S Fort Hood St,Killeen,US,-97.75698,McDonald's,TX
404 N Wood St,Gilmer,US,-94.94278,Taco Bell,TX
7104 S Fry Rd,Katy,US,-95.78177,McDonald's,TX
1265 S Wheeler St,Jasper,US,-93.99569,McDonald's,TX
307 E Wise St,Bowie,US,-97.846268,McDonald's,TX
705 N McCoy Blvd,New Boston,US,-94.4091,Taco Bell,TX
821 S Sam Houston Blvd,San Benito,US,-97.63723,McDonald's,TX
2652 S Nc 127 Hwy,Hickory,US,-81.35675,Domino's Pizza,NC
1696 N Center St,Lonoke,US,-91.89096,SONIC Drive In,AR
651 Terry Pkwy Ste 101,Gretna,US,-90.03,Domino's Pizza,LA
1449 Papillion Dr,Papillion,US,-96.01308,Domino's Pizza,NE
323 N 114th St,Omaha,US,-96.09081,Domino's Pizza,NE
102 Pavilion Pkwy,Newport,US,-84.4806,Domino's Pizza,KY
998 Nc Highway 150 W A,Greensboro,US,-79.84375,Domino's Pizza,NC
1518 N Ed Carey Dr,Harlingen,US,-97.67362,Taco Bell,TX
1501 7th St,Las Vegas,US,-105.22363,McDonald's,NM
1130 Burlington St,Holdrege,US,-99.3797,Sonic Drive-In,NE
1630 S Broadway,Minot,US,-101.29666,Taco Bell,ND
801 Dakota Ave,Wahpeton,US,-96.61158,Taco John's,ND
223 N Josephine Ave,Madison,US,-97.118242,Taco John's,SD
327 S Canal St,Carlsbad,US,-104.2292,McDonalds,NM
2005 E Madison Ave,Bastrop,US,-91.8896,McDonald's,LA
2000 N Date St,Truth Or Consequences,US,-107.24684,Sonic Drive-In,NM
320 NW 2nd St,Madison,US,-97.115957,McDonald's,SD
681 W Bridge St,Owatonna,US,-93.241752,Taco Bell,MN
2121 E Grand Ave,Laramie,US,-105.56668,Taco Bell,WY
1401 Mill St,Belle Fourche,US,-103.85504,Taco John's,SD
1650 E Bert Kouns Industrial Loop,Shreveport,US,-93.71381,Whataburger,LA
600 N Grand Ave,Tahlequah,US,-94.96673,Northeastern State University,OK
507 MacArthur Dr,Alexandria,US,-92.478,McDonald's,LA
245 High St,Ellsworth,US,-68.408,Taco Bell,ME
259 High St,Ellsworth,US,-68.40688,McDonald's,ME
6001 San Mateo Blvd Ne Ste G1,Albuquerque,US,-106.58797,Pizza Hut,NM
304 Keyser Ave,Natchitoches,US,-93.08107,McDonald's,LA
192 Water St,Gardiner,US,-69.77157,Domino's Pizza,ME
1306 S Thompson St,Springdale,US,-94.13983,SONIC Drive In,AR
1310 E Main St,Stigler,US,-95.10962,McDonald's,OK
1510 S Mississippi Ave,Atoka,US,-96.13563,Taco Bell,OK
207 N Broadway St,Checotah,US,-95.52156,Subway,OK
4105 Main St,Springfield,US,-122.96621,Domino's Pizza,OR
499 Canal St,Brattleboro,US,-72.56684,Domino's Pizza,VT
105 Blake Dr,Wagoner,US,-95.39476,SONIC Drive In,OK
5704 Jackson St,Alexandria,US,-92.48741,Subway,LA
603 E Main St,Endicott,US,-76.05453,McDonald's,NY
